College,State,OutStateTuition,Type,MathSAT,VerbalSAT,PercAccepted,PercEnrolled,NumberFTUGs,NumberPTUGs,RoomBoardCosts,BookCosts,FacultyPhDs,StuFacRatio,Expenditure,GradRate,id
Alaska Pacific University,AK,7560,Private,6,6,0.756,0.377,249,869,4120,800,0.76,11.9,10922,0.15,1
Auburn University-Main Campus,AL,6300,Public,8,7,0.9,0.452,16262,1716,3933,600,0.85,16.7,6642,0.69,2
Birmingham-Southern College,AL,11660,Private,8,7,0.73,0.488,1376,207,4325,400,0.74,14,8649,0.72,3
Huntingdon College,AL,8080,Private,7,5,0.855,0.244,538,126,3920,500,0.63,11.4,7703,0.44,4
Spring Hill College,AL,11478,Private,7,6,0.898,0.331,942,224,4788,500,0.8,14.4,8594,0.7,5
Troy State University at Troy,AL,2883,Public,7,6,0.871,0.643,4343,990,2570,300,0.5,23,4295,0.48,6
University of Alabama at Huntsville,AL,4960,Public,7,6,0.695,0.465,2727,3394,3500,600,0.83,12.7,8863,0.38,7
Hendrix College,AR,8800,Private,8,7,0.876,0.38,954,6,3195,500,0.82,13.1,8588,0.63,8
John Brown University,AR,6398,Private,7,6,0.669,0.701,961,99,3672,400,0.68,13.3,8118,0.75,9
Harding University,AR,5504,Private,7,6,0.621,0.755,3128,213,3528,700,0.71,17.7,6466,0.73,10
Grand Canyon University,AZ,6870,Private,6,5,0.791,0.43,1364,454,3100,400,0.56,14.2,6219,0.81,11
Arizona State University Main campus,AZ,7434,Public,7,6,0.805,0.365,22593,7585,4850,700,0.88,18.9,4602,0.48,12
Northern Arizona University,AZ,6746,Public,6,5,0.837,0.4,11249,2682,3728,620,0.78,21.7,6157,0.41,13
University of Arizona,AZ,7434,Public,7,6,0.869,0.37,21664,4894,4216,620,0.91,19.6,9683,0.49,14
Biola University,CA,11388,Private,7,5,0.801,0.512,2058,111,4546,1000,0.67,16.6,9329,0.36,15
California Lutheran University,CA,12950,Private,6,5,0.439,1,1427,432,5300,612,0.72,12.4,8985,0.6,16
California State Univ. at Fullerton,CA,8990,Public,6,4,0.746,0.328,12147,6681,3476,600,0.88,19.9,6288,0.56,17
California Polytechnic-San Luis,CA,7380,Public,7,6,0.489,0.432,12911,1404,4877,612,0.72,19.8,8453,0.59,18
Humboldt State University,CA,9979,Public,7,6,0.632,0.258,5637,678,4200,600,0.8,16.4,8650,0.65,19
California State University at Sacramento,CA,9096,Public,6,5,0.696,0.408,13724,8161,4500,700,0.79,19.2,7530,0.47,20
San Diego State University,CA,8384,Public,6,4,0.747,0.306,16407,5550,5110,612,0.87,19.5,7930,0.41,21
San Francisco State University,CA,8964,Public,5,4,0.657,0.356,13165,5937,6776,630,0.75,17.4,7651,0.55,22
San Jose State University,CA,8820,Public,6,4,0.786,0.347,14392,7263,4224,350,0.72,17.4,5957,0.46,23
Sonoma State University,CA,7830,Public,6,6,0.36,0.567,4239,1259,5189,610,0.79,16.1,7304,0.4,24
United States International University,CA,11760,Private,6,5,0.522,0.304,237,67,4225,630,0.9,15.7,10317,0.23,25
Chapman University,CA,16624,Private,7,6,0.804,0.455,1662,209,5895,600,0.72,12.8,12692,0.47,26
